,Unnamed: 0,names,values,target,model
43,3,wdi-BM.TRF.PWKR.CD.DT,0.0875752539672947,epi-ECO,etr
44,4,wdi2-SE.TER.CUAT.BA.FE.ZS,0.0616071639847846,epi-ECO,etr
45,5,wdi-HD.HCI.OVRL.LB.FE,0.089434086218397,epi-ECO,etr
46,6,itu-gci-coop,0.0917187515580406,epi-ECO,etr
47,7,hdr-44206,0.1049143053496993,epi-ECO,etr
48,8,wdi-DT.ODA.ODAT.PC.ZS,0.1817087984166888,epi-ECO,etr
49,9,wdi2-SH.UHC.NOP1.ZS,0.0753661678602329,epi-ECO,etr
50,0,wdi2-NY.ADJ.AEDU.GN.ZS,0.0681520558541579,epi-EPI,etr
51,1,wdi2-SP.DYN.IMRT.IN,0.1108469720334649,epi-EPI,etr
52,2,epi-WMG,0.1867853666764451,epi-EPI,etr
53,3,wdi2-NY.GDP.MKTP.PP.CD,0.0628984026229634,epi-EPI,etr
54,4,key-wdi2-SP.POP.TOTL,0.0705167946084156,epi-EPI,etr
55,5,wdi2-SL.EMP.VULN.ZS,0.0887421606042015,epi-EPI,etr
56,6,wdi2-NY.ADJ.NNTY.KD,0.0635565527278483,epi-EPI,etr
57,7,hdr-185206,0.1266631449127327,epi-EPI,etr
58,8,wdi2-SH.XPD.PVTD.PP.CD,0.130534444215214,epi-EPI,etr
59,9,itu-fts1,0.0913041057445562,epi-EPI,etr
60,0,wdi2-NY.ADJ.DKAP.CD,0.1260991684000683,irena-ff-cap-on,etr
61,1,wdi2-NY.EXP.CAPM.KN,0.0088378571062233,irena-ff-cap-on,etr
62,2,wdi2-NY.TAX.NIND.KN,0.010677616126773,irena-ff-cap-on,etr
63,3,hdr-123606,0.2028005827062955,irena-ff-cap-on,etr
64,4,wdi-BM.GSR.GNFS.CD,0.4166252673039496,irena-ff-cap-on,etr
65,5,wdi2-SP.POP.0014.TO,0.0116946718026631,irena-ff-cap-on,etr
66,6,paris-35,0.0070343027479075,irena-ff-cap-on,etr
67,7,wdi2-SL.EMP.VULN.FE.ZS,0.0129923298883178,irena-ff-cap-on,etr
68,8,wdi2-SP.POP.TOTL.MA.ZS,0.0417385619787944,irena-ff-cap-on,etr
69,9,key-wdi-IS.SHP.GOOD.TU,0.1614996419390069,irena-ff-cap-on,etr
70,0,wdi-IC.TAX.PRFT.CP.ZS,0.1909293761990936,epi-MPA,etr
71,1,wdi2-SL.TLF.CACT.ZS,0.0505200632772705,epi-MPA,etr
72,2,wdi2-NY.GSR.NFCY.CN,0.0742214566199324,epi-MPA,etr
73,3,wdi-DT.DOD.MIBR.CD,0.0926575525589988,epi-MPA,etr
74,4,ohi-ao-resilience,0.1926603160444066,epi-MPA,etr
75,5,key-wdi2-SP.POP.TOTL,0.0769113209993007,epi-MPA,etr
76,6,wdi2-SL.UEM.1524.MA.NE.ZS,0.0959693804637254,epi-MPA,etr
77,7,wdi2-NY.GDP.DEFL.ZS,0.1059777627697972,epi-MPA,etr
78,8,ihme-environmental-heat-and-cold-exposure,0.0683088394649274,epi-MPA,etr
79,9,wdi2-SH.FPL.SATM.ZS,0.0518439316025471,epi-MPA,etr
80,0,wdi-BN.GSR.MRCH.CD,0.0721018720740101,epi-HLT,etr
81,1,wdi2-SL.IND.EMPL.ZS,0.0549922368321267,epi-HLT,etr
82,2,ihme-sudden-infant-death-syndrome,0.0753992153135848,epi-HLT,etr
83,3,hdr-121206,0.1429045063795293,epi-HLT,etr
84,4,wdi2-TX.VAL.TECH.CD,0.0971687726407164,epi-HLT,etr
85,5,ndgain-id_habi_04-score,0.1257510635168167,epi-HLT,etr
86,6,wdi2-SL.EMP.VULN.MA.ZS,0.101238106728504,epi-HLT,etr
87,7,hdr-123406,0.1362540018399966,epi-HLT,etr
88,8,wdi2-SH.DYN.MORT.FE,0.1305225752988019,epi-HLT,etr
89,9,wdi2-PA.NUS.PPP,0.0636676493759131,epi-HLT,etr
90,0,key-wdi-IS.SHP.GOOD.TU,0.0964810475743084,epi-MSW,etr
91,1,hdr-68606,0.08170161208054,epi-MSW,etr
92,2,wdi-IC.BUS.DISC.XQ,0.2018715666044122,epi-MSW,etr
93,3,unicef-wash15,0.0951961452930473,epi-MSW,etr
94,4,ihme-whooping-cough,0.1436145683004728,epi-MSW,etr
95,5,wdi2-SH.XPD.GHED.CH.ZS,0.0383225106194148,epi-MSW,etr
96,6,paris-135,0.1004233783539869,epi-MSW,etr
97,7,epi-PBD,0.0769488363529816,epi-MSW,etr
98,8,wdi-IQ.CPA.PROP.XQ,0.0480285809072273,epi-MSW,etr
99,9,wdi2-SE.SEC.TCAQ.ZS,0.1174117539136084,epi-MSW,etr
100,0,wdi2-SE.PRE.DURS,0.1624700678065279,epi-WMG,etr
101,1,wdi-BX.GSR.GNFS.CD,0.0821631948791954,epi-WMG,etr
102,2,mvi-environmental,0.0564039316877236,epi-WMG,etr
103,3,wdi2-SH.XPD.OOPC.CH.ZS,0.0864420748523979,epi-WMG,etr
104,4,ohi-mar-future,0.0699395999404019,epi-WMG,etr
105,5,ndgain-nd-vulnerability-habitat,0.2225896355907985,epi-WMG,etr
106,6,wdi2-SH.ANM.CHLD.ZS,0.1149400397144201,epi-WMG,etr
107,7,ihme-non-rheumatic-valvular-heart-disease,0.1129935894624849,epi-WMG,etr
108,8,wdi-DC.DAC.KORL.CD,0.0192843871615754,epi-WMG,etr
109,9,ohi-spp-resilience,0.0727734789044739,epi-WMG,etr
110,0,wdi-FS.AST.PRVT.GD.ZS,0.0298936178589623,wdi2-SP.POP.GROW,etr
111,1,key-mvi-ldc-LECZ-Index,0.0749475967469976,wdi2-SP.POP.GROW,etr
112,2,igrac-twap_sids_hydrogeological_gwdepletion,0.0292282506233236,wdi2-SP.POP.GROW,etr
113,3,wdi2-TM.VAL.MRCH.AL.ZS,0.1630865783339462,wdi2-SP.POP.GROW,etr
114,4,ssi-wbs,0.081647316082634,wdi2-SP.POP.GROW,etr
115,5,wdi2-SH.XPD.EHEX.PC.CD,0.0513347679989069,wdi2-SP.POP.GROW,etr
116,6,hdr-179406,0.0476320826245952,wdi2-SP.POP.GROW,etr
117,7,ndgain-id_food_02-score,0.3936509770272483,wdi2-SP.POP.GROW,etr
118,8,ihme-alzheimer's-disease-and-other-dementias,0.0490752595358449,wdi2-SP.POP.GROW,etr
119,9,wdi-EG.USE.ELEC.KH.PC,0.0795035531675407,wdi2-SP.POP.GROW,etr
120,0,paris-83,0.0003308431109677,wdi2-SP.POP.TOTL,etr
121,1,wdi-EN.ATM.METH.EG.KT.CE,0.0022326523344786,wdi2-SP.POP.TOTL,etr
122,2,wdi-DT.ODA.ALLD.CD,0.0038327551761856,wdi2-SP.POP.TOTL,etr
123,3,unicef-d3,0.2691601463561996,wdi2-SP.POP.TOTL,etr
124,4,wdi-BN.KLT.DINV.CD,0.0017972261257397,wdi2-SP.POP.TOTL,etr
125,5,ihme-autism-spectrum-disorders,0.0098816207412421,wdi2-SP.POP.TOTL,etr
126,6,wdi2-SP.POP.TOTL.FE.IN,0.7023277947117277,wdi2-SP.POP.TOTL,etr
127,7,wdi-BX.KLT.DINV.WD.GD.ZS,0.0014565492439571,wdi2-SP.POP.TOTL,etr
128,8,wdi2-NY.ADJ.DMIN.CD,0.0011341303648619,wdi2-SP.POP.TOTL,etr
129,9,wdi2-SE.SEC.AGES,0.0078462818346394,wdi2-SP.POP.TOTL,etr
130,0,ihme-cardiomyopathy-and-myocarditis,0.1737903848288965,wdi2-SE.PRM.DURS,etr
131,1,ihme-eating-disorders,0.1061679320554186,wdi2-SE.PRM.DURS,etr
132,2,wdi2-SE.ADT.LITR.FE.ZS,0.063371051548144,wdi2-SE.PRM.DURS,etr
133,3,ihme-intestinal-nematode-infections,0.0564970757391832,wdi2-SE.PRM.DURS,etr
134,4,wdi2-TM.TAX.MANF.WM.FN.ZS,0.1202190616403967,wdi2-SE.PRM.DURS,etr
135,5,ohi-spp-future,0.1111130312788692,wdi2-SE.PRM.DURS,etr
136,6,wdi-GC.XPN.TOTL.CN,0.0279864668581385,wdi2-SE.PRM.DURS,etr
137,7,wdi2-SE.SEC.AGES,0.1658529934119907,wdi2-SE.PRM.DURS,etr
138,8,wdi2-SE.PRM.PRS5.ZS,0.0391299078420595,wdi2-SE.PRM.DURS,etr
139,9,ihme-alzheimer's-disease-and-other-dementias,0.1358720947969028,wdi2-SE.PRM.DURS,etr
140,0,key-mvi-wdi2-ST.INT.RCPT.XP.ZS,0.0914316552535427,wdi2-SP.RUR.TOTL,etr
141,1,egov-hci,0.1222078041295193,wdi2-SP.RUR.TOTL,etr
142,2,hdr-174306,0.0618704038193751,wdi2-SP.RUR.TOTL,etr
143,3,wdi2-SE.PRE.TCAQ.MA.ZS,0.0338883643753046,wdi2-SP.RUR.TOTL,etr
144,4,paris-123,0.0465917253515727,wdi2-SP.RUR.TOTL,etr
145,5,wdi2-NY.GDP.MKTP.CN.AD,0.0970341396489375,wdi2-SP.RUR.TOTL,etr
146,6,wdi2-TX.VAL.TECH.CD,0.0481030638773706,wdi2-SP.RUR.TOTL,etr
147,7,wdi2-NY.GDP.PCAP.KD,0.1013075637572653,wdi2-SP.RUR.TOTL,etr
148,8,wdi-DT.NFL.RDBC.CD,0.3081753590366065,wdi2-SP.RUR.TOTL,etr
149,9,hdr-182206,0.0893899207505054,wdi2-SP.RUR.TOTL,etr
150,0,wdi2-SG.DMK.SRCR.FN.ZS,0.0744726813400853,wdi2-SP.RUR.TOTL.ZS,etr
151,1,wdi2-SP.POP.1564.MA.IN,0.0844985723321317,wdi2-SP.RUR.TOTL.ZS,etr
152,2,paris-62,0.1972903502604004,wdi2-SP.RUR.TOTL.ZS,etr
153,3,wdi-BN.GSR.FCTY.CD,0.0793942955828421,wdi2-SP.RUR.TOTL.ZS,etr
154,4,wdi2-MS.MIL.TOTL.TF.ZS,0.0672715591160502,wdi2-SP.RUR.TOTL.ZS,etr
155,5,wdi-FB.ATM.TOTL.P5,0.1934537213089521,wdi2-SP.RUR.TOTL.ZS,etr
156,6,wdi2-TX.VAL.MRCH.WL.CD,0.0776428101770562,wdi2-SP.RUR.TOTL.ZS,etr
157,7,paris-81,0.0644343745485912,wdi2-SP.RUR.TOTL.ZS,etr
158,8,wdi2-SE.XPD.CTER.ZS,0.0560319407852504,wdi2-SP.RUR.TOTL.ZS,etr
159,9,wdi2-SP.POP.6569.FE.5Y,0.1055096945486399,wdi2-SP.RUR.TOTL.ZS,etr
160,0,wdi2-SI.POV.MDIM,0.0496761534480244,wdi2-SE.SEC.DURS,etr
161,1,wdi-ER.FSH.CAPT.MT,0.0685436376528315,wdi2-SE.SEC.DURS,etr
162,2,wdi2-SP.POP.0014.FE.ZS,0.1853530383944315,wdi2-SE.SEC.DURS,etr
163,3,wdi2-SL.EMP.TOTL.SP.MA.ZS,0.0606817393313531,wdi2-SE.SEC.DURS,etr
164,4,hdr-110906,0.0802356413201223,wdi2-SE.SEC.DURS,etr
165,5,hdr-123606,0.1254839710647947,wdi2-SE.SEC.DURS,etr
166,6,wdi2-SP.POP.1519.FE.5Y,0.0629976800689857,wdi2-SE.SEC.DURS,etr
167,7,wdi2-SE.ENR.PRSC.FM.ZS,0.1953760755051444,wdi2-SE.SEC.DURS,etr
168,8,unicef-e22,0.048776253926252,wdi2-SE.SEC.DURS,etr
169,9,wdi-EG.USE.CRNW.ZS,0.12287580928806,wdi2-SE.SEC.DURS,etr
170,0,hdr-58006,0.0111957691589796,wdi2-SP.URB.TOTL,etr
171,1,wdi-BN.GSR.FCTY.CD,0.0425080095987369,wdi2-SP.URB.TOTL,etr
172,2,wdi-IC.CRD.PRVT.ZS,0.0686243149396443,wdi2-SP.URB.TOTL,etr
173,3,ndgain-id_infr_02-score,0.0216341105271699,wdi2-SP.URB.TOTL,etr
174,4,wdi-EN.ATM.CO2E.PP.GD.KD,0.0145546854602394,wdi2-SP.URB.TOTL,etr
175,5,hdr-44206,0.771332535733347,wdi2-SP.URB.TOTL,etr
176,6,ihme-viral-skin-diseases,0.0455116681960395,wdi2-SP.URB.TOTL,etr
177,7,wdi2-TX.VAL.TECH.MF.ZS,0.0116174177273179,wdi2-SP.URB.TOTL,etr
178,8,wdi2-SH.HIV.INCD.TL.P3,0.0108556428941777,wdi2-SP.URB.TOTL,etr
179,9,wdi-IC.ELC.OUTG.ZS,0.0021658457643472,wdi2-SP.URB.TOTL,etr
180,0,wdi-EN.ATM.PM25.MC.T1.ZS,0.0830888033662669,wdi2-SP.URB.TOTL.IN.ZS,etr
181,1,ohi-liv-score,0.1790606039735745,wdi2-SP.URB.TOTL.IN.ZS,etr
182,2,itu-mmbi,0.119366282567113,wdi2-SP.URB.TOTL.IN.ZS,etr
183,3,paris-45,0.0780827352183251,wdi2-SP.URB.TOTL.IN.ZS,etr
184,4,wdi2-SL.TLF.ACTI.MA.ZS,0.1302470102855981,wdi2-SP.URB.TOTL.IN.ZS,etr
185,5,ihme-nasopharynx-cancer,0.1176816308073515,wdi2-SP.URB.TOTL.IN.ZS,etr
186,6,ihme-interstitial-lung-disease-and-pulmonary-sarcoidosis,0.0780087604053122,wdi2-SP.URB.TOTL.IN.ZS,etr
187,7,ldc-GPIS-Index,0.0761579930527145,wdi2-SP.URB.TOTL.IN.ZS,etr
188,8,wdi2-SE.ADT.1524.LT.FE.ZS,0.0582439781656388,wdi2-SP.URB.TOTL.IN.ZS,etr
189,9,key-wdi-GC.DOD.TOTL.GD.ZS,0.080062202158105,wdi2-SP.URB.TOTL.IN.ZS,etr
190,0,ldc-GSSE-Index,0.1763672142729432,wdi2-SP.URB.GROW,etr
191,1,itu-mcb,0.0993882568126708,wdi2-SP.URB.GROW,etr
192,2,ndgain-id_heal_01-raw,0.1061291901373448,wdi2-SP.URB.GROW,etr
193,3,wdi-FR.INR.LNDP,0.0355853953311605,wdi2-SP.URB.GROW,etr
194,4,wdi2-SP.POP.4549.FE.5Y,0.0885104611682747,wdi2-SP.URB.GROW,etr
195,5,ihme-cystic-echinococcosis,0.0638291067864303,wdi2-SP.URB.GROW,etr
196,6,hdr-43006,0.0950572930592743,wdi2-SP.URB.GROW,etr
197,7,wdi2-TM.VAL.MRCH.XD.WD,0.0430434342723211,wdi2-SP.URB.GROW,etr
198,8,ndgain-nd-vulnerability-exposure,0.1287883123176479,wdi2-SP.URB.GROW,etr
199,9,hdr-24206,0.163301335841932,wdi2-SP.URB.GROW,etr
200,0,wdi2-NE.CON.PRVT.KD.ZG,0.0464601967794021,wdi2-SE.SEC.AGES,etr
201,1,wdi2-SL.UEM.TOTL.MA.ZS,0.0961257385201718,wdi2-SE.SEC.AGES,etr
202,2,wdi-FX.OWN.TOTL.60.ZS,0.0763408182056866,wdi2-SE.SEC.AGES,etr
203,3,wdi2-SL.EMP.SELF.MA.ZS,0.1273654315370841,wdi2-SE.SEC.AGES,etr
204,4,wdi2-NE.GDI.FTOT.KD,0.092648851198783,wdi2-SE.SEC.AGES,etr
205,5,ohi-cp-pressures,0.047844279611829,wdi2-SE.SEC.AGES,etr
206,6,wdi2-SL.EMP.VULN.FE.ZS,0.1346653208625191,wdi2-SE.SEC.AGES,etr
207,7,irena-owe-gen-off,0.1643251481227029,wdi2-SE.SEC.AGES,etr
208,8,wdi-FD.RES.LIQU.AS.ZS,0.0861171230349958,wdi2-SE.SEC.AGES,etr
209,9,wdi-BX.GRT.TECH.CD.WD,0.128107092126825,wdi2-SE.SEC.AGES,etr
210,0,wdi2-SE.SEC.ENRL.GC,0.1016066553864786,wdi2-SE.PRM.AGES,etr
211,1,wdi2-SP.POP.0004.FE.5Y,0.2363479094741802,wdi2-SE.PRM.AGES,etr
212,2,wdi2-TM.VAL.MMTL.ZS.UN,0.0403673488397153,wdi2-SE.PRM.AGES,etr
213,3,wdi2-NY.GNP.PCAP.PP.CD,0.0674105690734182,wdi2-SE.PRM.AGES,etr
214,4,ihme-interstitial-lung-disease-and-pulmonary-sarcoidosis,0.1216077988050787,wdi2-SE.PRM.AGES,etr
215,5,ohi-cs-pressures,0.0773589668466465,wdi2-SE.PRM.AGES,etr
216,6,ndgain-id_ecos_04-score,0.0527630882028117,wdi2-SE.PRM.AGES,etr
217,7,wdi-EG.ELC.ACCS.ZS,0.0627000497240404,wdi2-SE.PRM.AGES,etr
218,8,wdi2-SP.POP.80UP.FE.5Y,0.1216595349712184,wdi2-SE.PRM.AGES,etr
219,9,ohi-mar-resilience,0.1181780786764115,wdi2-SE.PRM.AGES,etr
220,0,ohi-le-score,0.0053361659934687,epi-WWT,etr
221,1,wdi2-NY.GDP.MKTP.PP.KD,0.1356084557081636,epi-WWT,etr
222,2,hdr-169706,0.1937598659658362,epi-WWT,etr
223,3,wdi-FB.CBK.DPTR.P3,0.0185328205318941,epi-WWT,etr
224,4,key-ndgain-nd-gain,0.0569040941959369,epi-WWT,etr
225,5,ldc-AIN-Value,0.02839530005529,epi-WWT,etr
226,6,wdi2-SP.POP.SCIE.RD.P6,0.1294878016439807,epi-WWT,etr
227,7,wdi-FI.RES.TOTL.CD,0.0896998874152612,epi-WWT,etr
228,8,hdr-195706,0.3109464450857758,epi-WWT,etr
229,9,blasiak-index-26-50,0.0313291634043923,epi-WWT,etr
230,0,wdi2-SL.TLF.CACT.ZS,0.0307716796015766,epi-WRS,etr
231,1,wdi-EG.ELC.FOSL.ZS,0.0200399222084284,epi-WRS,etr
232,2,wdi2-NY.ADJ.NNTY.PC.CD,0.1612131369283914,epi-WRS,etr
233,3,blasiak-sea-26-16,0.0260959755170847,epi-WRS,etr
234,4,ndgain-id_wate_03-score,0.4035687448824031,epi-WRS,etr
235,5,wdi2-NY.ADJ.SVNX.GN.ZS,0.0587061734459633,epi-WRS,etr
236,6,wdi2-SL.UEM.TOTL.MA.NE.ZS,0.0799638275012261,epi-WRS,etr
237,7,itu-pc4,0.0247688674671993,epi-WRS,etr
238,8,wdi-IS.AIR.DPRT,0.1623306605681108,epi-WRS,etr
239,9,ndgain-nd-vulnerability-health,0.0325410118796159,epi-WRS,etr
240,0,wdi-BX.GSR.CCIS.CD,0.054231575758297,key-wdi2-SP.POP.TOTL,etr
241,1,paris-64,0.0145455793769754,key-wdi2-SP.POP.TOTL,etr
242,2,wdi-DT.DOD.DSTC.CD,0.1673211336144175,key-wdi2-SP.POP.TOTL,etr
243,3,wdi-DT.DOD.MWBG.CD,0.1762979104130512,key-wdi2-SP.POP.TOTL,etr
244,4,key-wdi2-NY.GDP.DEFL.KD.ZG,0.0064014966151399,key-wdi2-SP.POP.TOTL,etr
245,5,ldc-REM-Index,0.030605213130401,key-wdi2-SP.POP.TOTL,etr
246,6,wdi2-SP.POP.0014.MA.ZS,0.0412156418283801,key-wdi2-SP.POP.TOTL,etr
247,7,paris-151,0.1087093140486056,key-wdi2-SP.POP.TOTL,etr
248,8,ihme-larynx-cancer,0.1370764883007004,key-wdi2-SP.POP.TOTL,etr
249,9,wdi2-SH.DTH.0509,0.2635956469140315,key-wdi2-SP.POP.TOTL,etr
250,0,wdi2-NY.GDP.MKTP.CD,0.8059892003666435,irena-ff-gen-on,etr
251,1,wdi-GC.XPN.INTP.CN,0.0084578735647433,irena-ff-gen-on,etr
252,2,ihme-gallbladder-and-biliary-tract-cancer,0.0141352848175192,irena-ff-gen-on,etr
253,3,wdi2-SP.POP.1564.MA.ZS,0.0262146802489551,irena-ff-gen-on,etr
254,4,ihme-psoriasis,0.0393278809079629,irena-ff-gen-on,etr
255,5,ihme-alzheimer's-disease-and-other-dementias,0.0104351679978485,irena-ff-gen-on,etr
256,6,wdi2-SE.PRM.TCAQ.ZS,0.0051441587339904,irena-ff-gen-on,etr
257,7,wdi-AG.LND.CROP.ZS,0.009116078798263,irena-ff-gen-on,etr
258,8,wdi-FX.OWN.TOTL.40.ZS,0.0695597561382111,irena-ff-gen-on,etr
259,9,wdi2-NY.ADJ.DCO2.GN.ZS,0.0116199184258626,irena-ff-gen-on,etr
260,0,wdi2-SH.MLR.TRET.ZS,0.0423372059591469,wdi-IT.NET.SECR.P6,etr
261,1,wdi2-SL.EMP.1524.SP.NE.ZS,0.0682224163488968,wdi-IT.NET.SECR.P6,etr
262,2,wdi2-SP.RUR.TOTL.ZS,0.1293699820986135,wdi-IT.NET.SECR.P6,etr
263,3,wdi2-NE.IMP.GNFS.KN,0.0750736373334194,wdi-IT.NET.SECR.P6,etr
264,4,ihme-gallbladder-and-biliary-tract-cancer,0.075453290236005,wdi-IT.NET.SECR.P6,etr
265,5,wdi2-TM.TAX.MRCH.SM.FN.ZS,0.2112987527376142,wdi-IT.NET.SECR.P6,etr
266,6,wdi2-SI.POV.MDIM.IT,0.1548704242764759,wdi-IT.NET.SECR.P6,etr
267,7,itu-pc4,0.1181183137003294,wdi-IT.NET.SECR.P6,etr
268,8,wdi2-SE.PRM.CUAT.MA.ZS,0.0525017115375988,wdi-IT.NET.SECR.P6,etr
269,9,ohi-lsp-score,0.0727542657718996,wdi-IT.NET.SECR.P6,etr
270,0,wdi2-NE.CON.GOVT.CD,0.2159316519248623,wdi-IT.NET.SECR,etr
271,1,irena-ff-gen-on,0.1407225344000827,wdi-IT.NET.SECR,etr
272,2,wdi-BN.TRF.CURR.CD,0.1071344003999113,wdi-IT.NET.SECR,etr
273,3,wdi-BN.GSR.MRCH.CD,0.1700287531107598,wdi-IT.NET.SECR,etr
274,4,itu-gci-tech,0.1394161114308153,wdi-IT.NET.SECR,etr
275,5,wdi2-SH.STA.POIS.P5.MA,0.0145826122507334,wdi-IT.NET.SECR,etr
276,6,epi-MSW,0.0021195219908016,wdi-IT.NET.SECR,etr
277,7,itu-icts,0.066047027276285,wdi-IT.NET.SECR,etr
278,8,unicef-mnh1,0.0668322601554542,wdi-IT.NET.SECR,etr
279,9,wdi-EN.ATM.CO2E.KT,0.0771851270602938,wdi-IT.NET.SECR,etr
280,0,wdi2-SH.STA.MALN.ZS,0.0300252999522948,wdi2-PA.NUS.ATLS,etr
281,1,wdi2-NV.AGR.TOTL.KN,0.3927056866272986,wdi2-PA.NUS.ATLS,etr
282,2,wdi2-SL.EMP.SELF.MA.ZS,0.1334716018922253,wdi2-PA.NUS.ATLS,etr
283,3,wdi2-SM.POP.REFG,0.0268972790725845,wdi2-PA.NUS.ATLS,etr
284,4,wdi2-SP.POP.7074.FE.5Y,0.1206913175592414,wdi2-PA.NUS.ATLS,etr
285,5,wdi-ER.H2O.FWDM.ZS,0.0257893721320821,wdi2-PA.NUS.ATLS,etr
286,6,wdi-IQ.CPA.TRAN.XQ,0.1228171631623572,wdi2-PA.NUS.ATLS,etr
287,7,wdi-FX.OWN.TOTL.OL.ZS,0.025295195349856,wdi2-PA.NUS.ATLS,etr
288,8,hdr-97306,0.021273317867809,wdi2-PA.NUS.ATLS,etr
289,9,hdr-175506,0.1010337663842506,wdi2-PA.NUS.ATLS,etr
290,0,ssi-15,0.0191378689090079,wdi2-NY.GDP.MKTP.CN,etr
291,1,wdi-FP.CPI.TOTL,0.00944837462885,wdi2-NY.GDP.MKTP.CN,etr
292,2,wdi-EG.ELC.LOSS.ZS,0.016653185788847,wdi2-NY.GDP.MKTP.CN,etr
293,3,wdi-IQ.CPA.BREG.XQ,0.0097674706267625,wdi2-NY.GDP.MKTP.CN,etr
294,4,wdi-BX.GSR.NFSV.CD,0.0228662682910708,wdi2-NY.GDP.MKTP.CN,etr
295,5,wdi-AG.LND.AGRI.ZS,0.012128812471643,wdi2-NY.GDP.MKTP.CN,etr
296,6,wdi2-SI.DST.02ND.20,0.0158128515976253,wdi2-NY.GDP.MKTP.CN,etr
297,7,wdi-BM.GSR.MRCH.CD,0.0230281382097512,wdi2-NY.GDP.MKTP.CN,etr
298,8,ihme-vitamin-a-deficiency,0.0073961871869548,wdi2-NY.GDP.MKTP.CN,etr
299,9,wdi2-NY.TAX.NIND.KN,0.8637608422894872,wdi2-NY.GDP.MKTP.CN,etr
300,0,wdi-DT.DOD.MIBR.CD,0.1561171783979018,wdi2-NY.GDP.PCAP.CN,etr
301,1,hdr-103006,0.0216225477404106,wdi2-NY.GDP.PCAP.CN,etr
302,2,itu-icts,0.0143874464510717,wdi2-NY.GDP.PCAP.CN,etr
303,3,wdi2-SL.SRV.EMPL.ZS,0.0297960116199666,wdi2-NY.GDP.PCAP.CN,etr
