,model,year,target,category,values
122,lgbmr,2015,wdi2-NY.GDP.MKTP.CD,Health,2.0604701643743796e+26
123,lgbmr,2015,wdi2-NY.GDP.PCAP.CD,Economic Policy & Debt,1341579179.064819
124,lgbmr,2015,wdi2-NY.GDP.PCAP.CD,Environment,1375044415.1744995
125,lgbmr,2015,wdi2-NY.GDP.PCAP.CD,Health,2332264312.587158
126,lgbmr,2015,wdi2-SE.PRM.DURS,Economic Policy & Debt,0.2946750441915355
127,lgbmr,2015,wdi2-SE.PRM.DURS,Environment,2.595426855725236
128,lgbmr,2015,wdi2-SE.PRM.DURS,Health,0.596966994315153
129,lgbmr,2015,wdi2-SE.PRM.DURS,Social Protection & Labor,0.4855148118222132
130,lgbmr,2015,wdi2-NY.GDP.FRST.RT.ZS,Economic Policy & Debt,60.14637551119024
131,lgbmr,2015,wdi2-NY.GDP.FRST.RT.ZS,Environment,49.95140167217323
132,lgbmr,2015,wdi2-NY.GDP.FRST.RT.ZS,Health,12.347447799955262
133,lgbmr,2015,wdi2-NY.GDP.MINR.RT.ZS,Economic Policy & Debt,1.82241157963108
134,lgbmr,2015,wdi2-NY.GDP.MINR.RT.ZS,Environment,2.8239692813514328
135,lgbmr,2015,wdi2-NY.GDP.MINR.RT.ZS,Health,0.23747176384677
136,lgbmr,2015,wdi2-NY.GDP.TOTL.RT.ZS,Economic Policy & Debt,249.34471790795212
137,lgbmr,2015,wdi2-NY.GDP.TOTL.RT.ZS,Environment,676.3419156463351
138,lgbmr,2015,wdi2-NY.GDP.TOTL.RT.ZS,Health,105.11095067718998
139,lgbmr,2015,wdi2-NY.GDP.DEFL.KD.ZG,Economic Policy & Debt,215.8694004248828
140,lgbmr,2015,wdi2-NY.GDP.DEFL.KD.ZG,Environment,95.7758077532053
141,lgbmr,2015,wdi2-NY.GDP.DEFL.KD.ZG,Health,73.83451622352004
142,lgbmr,2015,wdi2-NY.GDP.MKTP.KD.ZG,Economic Policy & Debt,118.26064661156852
143,lgbmr,2015,wdi2-NY.GDP.MKTP.KD.ZG,Environment,2.3930719415657222
144,lgbmr,2015,wdi2-NY.GDP.MKTP.KD.ZG,Financial Sector,9.428388956352135
145,lgbmr,2015,wdi2-NY.GDP.MKTP.KD.ZG,Health,10.033443822525442
146,lgbmr,2015,wdi2-NY.GDP.PCAP.KD.ZG,Economic Policy & Debt,124.86462465427758
147,lgbmr,2015,wdi2-NY.GDP.PCAP.KD.ZG,Environment,4.087256657629041
148,lgbmr,2015,wdi2-NY.GDP.PCAP.KD.ZG,Financial Sector,6.289008230058244
149,lgbmr,2015,wdi2-NY.GDP.PCAP.KD.ZG,Health,12.050105509348214
150,lgbmr,2015,wdi2-SP.DYN.CDRT.IN,Economic Policy & Debt,1.8132472012657672
151,lgbmr,2015,wdi2-SP.DYN.CDRT.IN,Environment,32.94955032039434
152,lgbmr,2015,wdi2-SP.DYN.CDRT.IN,Health,14.672977486625314
153,lgbmr,2015,wdi2-TM.VAL.MRCH.HI.ZS,Economic Policy & Debt,57.78916044533253
154,lgbmr,2015,wdi2-TM.VAL.MRCH.HI.ZS,Environment,1383.0126332193613
155,lgbmr,2015,wdi2-TM.VAL.MRCH.HI.ZS,Private Sector & Trade,1970.813983693719
156,lgbmr,2015,wdi2-TM.VAL.MRCH.OR.ZS,Economic Policy & Debt,147.16002549231052
157,lgbmr,2015,wdi2-TM.VAL.MRCH.OR.ZS,Environment,344.7073652977124
158,lgbmr,2015,wdi2-TM.VAL.MRCH.OR.ZS,Private Sector & Trade,1777.2703402321786
159,lgbmr,2015,wdi2-TM.VAL.MRCH.R2.ZS,Economic Policy & Debt,57.69994227215648
160,lgbmr,2015,wdi2-TM.VAL.MRCH.R2.ZS,Environment,119.18895605951548
161,lgbmr,2015,wdi2-TM.VAL.MRCH.R2.ZS,Private Sector & Trade,536.7126466855407
162,lgbmr,2015,wdi2-TM.VAL.MRCH.RS.ZS,Economic Policy & Debt,25.925867272540927
163,lgbmr,2015,wdi2-TM.VAL.MRCH.RS.ZS,Environment,62.87900715554133
164,lgbmr,2015,wdi2-TM.VAL.MRCH.RS.ZS,Private Sector & Trade,185.05432070977983
165,lgbmr,2015,wdi2-TM.VAL.MRCH.WL.CD,Economic Policy & Debt,5.419090728541179e+23
166,lgbmr,2015,wdi2-TM.VAL.MRCH.WL.CD,Environment,1.417162049411185e+25
167,lgbmr,2015,wdi2-TM.VAL.MRCH.WL.CD,Private Sector & Trade,5.82829035740957e+24
168,lgbmr,2015,wdi2-TX.VAL.MRCH.HI.ZS,Economic Policy & Debt,295.9979974627495
169,lgbmr,2015,wdi2-TX.VAL.MRCH.HI.ZS,Environment,876.6828643605113
170,lgbmr,2015,wdi2-TX.VAL.MRCH.HI.ZS,Private Sector & Trade,4152.9386655166745
171,lgbmr,2015,wdi2-TX.VAL.MRCH.RS.ZS,Economic Policy & Debt,9.994029620662332
172,lgbmr,2015,wdi2-TX.VAL.MRCH.RS.ZS,Environment,30.971126429270956
173,lgbmr,2015,wdi2-TX.VAL.MRCH.RS.ZS,Private Sector & Trade,89.20812852727249
174,lgbmr,2015,wdi2-TX.VAL.MRCH.WL.CD,Economic Policy & Debt,9.136899447995656e+23
175,lgbmr,2015,wdi2-TX.VAL.MRCH.WL.CD,Environment,6.677501854176769e+24
176,lgbmr,2015,wdi2-TX.VAL.MRCH.WL.CD,Private Sector & Trade,1.291864167966856e+25
177,lgbmr,2015,wdi2-SE.SEC.DURS,Economic Policy & Debt,0.2750659277080558
178,lgbmr,2015,wdi2-SE.SEC.DURS,Education,3.441455619467888
179,lgbmr,2015,wdi2-SE.SEC.DURS,Environment,2.9344847027314245
180,lgbmr,2015,wdi2-SE.SEC.DURS,Social Protection & Labor,0.575574808040983
181,lgbmr,2015,wdi2-SP.DYN.CBRT.IN,Economic Policy & Debt,10.233512898907064
182,lgbmr,2015,wdi2-SP.DYN.CBRT.IN,Environment,828.9781702943146
183,lgbmr,2015,wdi2-SP.DYN.CBRT.IN,Health,14.08873692061752
184,lgbmr,2015,wdi2-SP.RUR.TOTL.ZG,Economic Policy & Debt,1.441514121601358
185,lgbmr,2015,wdi2-SP.RUR.TOTL.ZG,Environment,15.757914254849313
186,lgbmr,2015,wdi2-SP.RUR.TOTL.ZG,Social Protection & Labor,2.569723451510072
187,lgbmr,2015,wdi2-TM.VAL.MRCH.CD.WT,Economic Policy & Debt,2.6528995522267963e+23
188,lgbmr,2015,wdi2-TM.VAL.MRCH.CD.WT,Environment,2.04784049024906e+25
189,lgbmr,2015,wdi2-TM.VAL.MRCH.CD.WT,Private Sector & Trade,7.37438966058583e+23
190,lgbmr,2015,wdi2-TM.VAL.MRCH.R1.ZS,Economic Policy & Debt,86.05359252391281
191,lgbmr,2015,wdi2-TM.VAL.MRCH.R1.ZS,Environment,191.64318498830653
192,lgbmr,2015,wdi2-TM.VAL.MRCH.R1.ZS,Private Sector & Trade,1401.0981371360022
193,lgbmr,2015,wdi2-TX.VAL.MRCH.CD.WT,Economic Policy & Debt,2.172169847990806e+23
194,lgbmr,2015,wdi2-TX.VAL.MRCH.CD.WT,Environment,2.0841282568037835e+25
195,lgbmr,2015,wdi2-TX.VAL.MRCH.CD.WT,Private Sector & Trade,6.351491176074804e+23
196,lgbmr,2015,wdi2-TX.VAL.MRCH.OR.ZS,Economic Policy & Debt,183.1574088782072
197,lgbmr,2015,wdi2-TX.VAL.MRCH.OR.ZS,Environment,381.9555697441101
198,lgbmr,2015,wdi2-TX.VAL.MRCH.OR.ZS,Private Sector & Trade,2683.2918961793184
199,lgbmr,2015,wdi2-TX.VAL.MRCH.R5.ZS,Economic Policy & Debt,76.50318740308285
200,lgbmr,2015,wdi2-TX.VAL.MRCH.R5.ZS,Environment,240.80386297870427
201,lgbmr,2015,wdi2-TX.VAL.MRCH.R5.ZS,Private Sector & Trade,711.0603528777137
202,lgbmr,2015,wdi-EN.ATM.CO2E.LF.KT,Economic Policy & Debt,836340945934.1992
203,lgbmr,2015,wdi-EN.ATM.CO2E.LF.KT,Environment,5562556000122.504
204,lgbmr,2015,wdi-EN.ATM.CO2E.LF.KT,Social Protection & Labor,2015560111536.2969
205,lgbmr,2015,wdi2-TM.VAL.MRCH.R3.ZS,Economic Policy & Debt,27.164038240909576
206,lgbmr,2015,wdi2-TM.VAL.MRCH.R3.ZS,Environment,180.08379560522735
207,lgbmr,2015,wdi2-TM.VAL.MRCH.R3.ZS,Private Sector & Trade,327.5945744877681
208,lgbmr,2015,wdi2-TM.VAL.MRCH.R5.ZS,Economic Policy & Debt,54.44367686053738
209,lgbmr,2015,wdi2-TM.VAL.MRCH.R5.ZS,Environment,94.17986914888024
210,lgbmr,2015,wdi2-TM.VAL.MRCH.R5.ZS,Private Sector & Trade,171.72191981528886
211,lgbmr,2015,wdi2-TM.VAL.MRCH.R6.ZS,Economic Policy & Debt,13.033455407246947
212,lgbmr,2015,wdi2-TM.VAL.MRCH.R6.ZS,Environment,104.92639536689968
213,lgbmr,2015,wdi2-TM.VAL.MRCH.R6.ZS,Private Sector & Trade,760.6341480379924
214,lgbmr,2015,wdi2-TX.VAL.MRCH.R1.ZS,Economic Policy & Debt,142.3843574076891
215,lgbmr,2015,wdi2-TX.VAL.MRCH.R1.ZS,Environment,897.711242094636
216,lgbmr,2015,wdi2-TX.VAL.MRCH.R1.ZS,Private Sector & Trade,1037.877290159464
217,lgbmr,2015,wdi2-TX.VAL.MRCH.R1.ZS,Social Protection & Labor,737.6101374775171
218,lgbmr,2015,wdi-IT.NET.BBND,Economic Policy & Debt,4649791384416416.0
219,lgbmr,2015,wdi-IT.NET.BBND,Environment,2.3120313112268544e+16
220,lgbmr,2015,wdi-IT.NET.BBND,Infrastructure,2.5784511890310016e+16
221,lgbmr,2015,wdi-IT.NET.BBND,Social Protection & Labor,1.433650985619072e+16
222,lgbmr,2015,wdi-IT.NET.BBND.P2,Economic Policy & Debt,134.5075073529733
223,lgbmr,2015,wdi-IT.NET.BBND.P2,Environment,1459.7070169768704
224,lgbmr,2015,wdi-IT.NET.BBND.P2,Infrastructure,42.636494253820274
225,lgbmr,2015,wdi-IT.NET.BBND.P2,Social Protection & Labor,58.953032105288
226,lgbmr,2015,wdi-IT.NET.USER.ZS,Economic Policy & Debt,366.1355268694461
227,lgbmr,2015,wdi-IT.NET.USER.ZS,Environment,6646.733500830829
228,lgbmr,2015,wdi-IT.NET.USER.ZS,Social Protection & Labor,290.78070091083646
229,lgbmr,2015,wdi2-SE.PRE.DURS,Economic Policy & Debt,1.6486625894904137
230,lgbmr,2015,wdi2-SE.PRE.DURS,Education,1.419304310460575
231,lgbmr,2015,wdi2-SE.PRE.DURS,Environment,16.373186695702316
232,lgbmr,2015,wdi2-TX.VAL.MRCH.AL.ZS,Economic Policy & Debt,259.7044757306576
233,lgbmr,2015,wdi2-TX.VAL.MRCH.AL.ZS,Environment,474.902755446732
234,lgbmr,2015,wdi2-TX.VAL.MRCH.AL.ZS,Private Sector & Trade,1151.807641543448
235,lgbmr,2015,wdi2-TX.VAL.MRCH.R6.ZS,Economic Policy & Debt,133.74242575466633
236,lgbmr,2015,wdi2-TX.VAL.MRCH.R6.ZS,Environment,270.1037705503404
237,lgbmr,2015,wdi2-TX.VAL.MRCH.R6.ZS,Private Sector & Trade,918.2361793927848
238,lgbmr,2015,wdi2-SP.DYN.LE00.FE.IN,Economic Policy & Debt,3.709184766637918
239,lgbmr,2015,wdi2-SP.DYN.LE00.FE.IN,Environment,6.316694214425297
240,lgbmr,2015,wdi2-SP.DYN.LE00.FE.IN,Health,521.2809532884621
241,lgbmr,2015,wdi2-SP.DYN.LE00.IN,Economic Policy & Debt,3.672858694844763
242,lgbmr,2015,wdi2-SP.DYN.LE00.IN,Environment,1.1043424652052636
243,lgbmr,2015,wdi2-SP.DYN.LE00.IN,Health,481.5284340868761
244,lgbmr,2015,wdi2-SP.DYN.LE00.MA.IN,Economic Policy & Debt,7.3921218105788284
245,lgbmr,2015,wdi2-SP.DYN.LE00.MA.IN,Environment,6.792703976436314
246,lgbmr,2015,wdi2-SP.DYN.LE00.MA.IN,Health,450.2630598739288
247,lgbmr,2015,wdi2-SP.DYN.TFRT.IN,Economic Policy & Debt,0.1007888252543125
248,lgbmr,2015,wdi2-SP.DYN.TFRT.IN,Environment,14.873207958457384
249,lgbmr,2015,wdi2-SP.DYN.TFRT.IN,Health,0.1134636050837798
250,lgbmr,2015,wdi-BX.KLT.DINV.CD.WD,Economic Policy & Debt,5.754469845911678e+22
251,lgbmr,2015,wdi-BX.KLT.DINV.CD.WD,Environment,3.2862533415248363e+23
252,lgbmr,2015,wdi-BX.KLT.DINV.CD.WD,Social Protection & Labor,1.582774648382394e+23
253,lgbmr,2015,wdi2-NY.GDP.MKTP.KD,Economic Policy & Debt,2.5243203716371195e+26
254,lgbmr,2015,wdi2-NY.GDP.MKTP.KD,Environment,1.94900841678258e+26
255,lgbmr,2015,wdi2-NY.GDP.MKTP.KD,Financial Sector,2.803628668865654e+24
256,lgbmr,2015,wdi2-NY.GDP.PCAP.KD,Economic Policy & Debt,1303099051.0
257,lgbmr,2015,wdi2-NY.GDP.PCAP.KD,Environment,2793879674.097656
258,lgbmr,2015,wdi2-NY.GDP.PCAP.KD,Financial Sector,120429651.703125
259,lgbmr,2015,wdi2-NY.GNP.MKTP.CD,Economic Policy & Debt,2.7668043674544774e+26
260,lgbmr,2015,wdi2-NY.GNP.MKTP.CD,Environment,1.7244521227902333e+26
261,lgbmr,2015,wdi2-NY.GNP.MKTP.CD,Health,6.155993178243222e+24
262,lgbmr,2015,wdi2-TM.VAL.MRCH.AL.ZS,Economic Policy & Debt,28.710372504079714
263,lgbmr,2015,wdi2-TM.VAL.MRCH.AL.ZS,Environment,206.7516674348153
264,lgbmr,2015,wdi2-TM.VAL.MRCH.AL.ZS,Private Sector & Trade,432.6592520182021
265,lgbmr,2015,wdi-AG.LND.CROP.ZS,Economic Policy & Debt,29.4538361504674
266,lgbmr,2015,wdi-AG.LND.CROP.ZS,Environment,321.28721031174064
267,lgbmr,2015,wdi-AG.LND.CROP.ZS,Social Protection & Labor,767.5846642516553
268,lgbmr,2015,wdi2-NY.ADJ.AEDU.GN.ZS,Economic Policy & Debt,32.254263458212336
269,lgbmr,2015,wdi2-NY.ADJ.AEDU.GN.ZS,Environment,43.19498628152087
270,lgbmr,2015,wdi2-NY.ADJ.AEDU.GN.ZS,Infrastructure,10.398262285141756
271,lgbmr,2015,wdi2-NY.ADJ.AEDU.GN.ZS,Social Protection & Labor,6.634346619279313
272,lgbmr,2015,wdi2-NY.ADJ.DMIN.GN.ZS,Economic Policy & Debt,0.0272067474463355
273,lgbmr,2015,wdi2-NY.ADJ.DMIN.GN.ZS,Environment,2.2226562693795526
274,lgbmr,2015,wdi2-TX.VAL.MRCH.R2.ZS,Economic Policy & Debt,8.23305403185077
275,lgbmr,2015,wdi2-TX.VAL.MRCH.R2.ZS,Environment,90.03031200775877
276,lgbmr,2015,wdi2-TX.VAL.MRCH.R2.ZS,Private Sector & Trade,604.9376974377665
277,lgbmr,2015,wdi2-TX.VAL.MRCH.R3.ZS,Economic Policy & Debt,45.23887414710771
278,lgbmr,2015,wdi2-TX.VAL.MRCH.R3.ZS,Environment,610.4953146156367
279,lgbmr,2015,wdi2-TX.VAL.MRCH.R3.ZS,Private Sector & Trade,1050.680913964199
280,lgbmr,2015,wdi-IP.JRN.ARTC.SC,Economic Policy & Debt,18562546075.19922
281,lgbmr,2015,wdi-IP.JRN.ARTC.SC,Environment,406620692343.196
282,lgbmr,2015,wdi2-NY.GDP.NGAS.RT.ZS,Economic Policy & Debt,157.2449856268711
283,lgbmr,2015,wdi2-NY.GDP.NGAS.RT.ZS,Environment,125.43851922095564
284,lgbmr,2015,wdi2-NY.GDP.PETR.RT.ZS,Economic Policy & Debt,15.340108973559836
285,lgbmr,2015,wdi2-NY.GDP.PETR.RT.ZS,Environment,191.44105325995588
286,lgbmr,2015,wdi2-NY.GNP.ATLS.CD,Economic Policy & Debt,2.9652688052228108e+26
287,lgbmr,2015,wdi2-NY.GNP.ATLS.CD,Environment,1.8922083879652848e+26
288,lgbmr,2015,wdi2-NY.GNP.ATLS.CD,Financial Sector,6.539157844738999e+24
289,lgbmr,2015,wdi2-NY.GNP.PCAP.CD,Economic Policy & Debt,904121286.5649414
290,lgbmr,2015,wdi2-NY.GNP.PCAP.CD,Environment,2513019188.654789
291,lgbmr,2015,wdi2-NY.GNP.PCAP.CD,Financial Sector,73130214.67842865
292,lgbmr,2015,wdi2-TG.VAL.TOTL.GD.ZS,Economic Policy & Debt,366.9589030742645
293,lgbmr,2015,wdi2-TG.VAL.TOTL.GD.ZS,Environment,10437.569271087646
